user_id,movie_id,rating
1,tt15354916,3.0
1,tt15748830,4.0
1,tt11663228,3.0
1,tt14993250,3.0
1,tt15732324,4.0
1,tt18266472,2.0
1,tt18561736,2.0
1,tt3691740,2.0
1,tt12844910,3.0
2,tt15464390,2.0
2,tt1187043,3.0
2,tt14914988,2.0
2,tt3741834,5.0
3,tt13131610,4.0
3,tt22188452,3.0
3,tt28568397,5.0
3,tt21908676,3.0
3,tt15441054,1.0
3,tt27542289,2.0
4,tt0454876,5.0
4,tt0249371,1.0
4,tt0838221,3.0
4,tt5074352,2.0
4,tt8239946,3.0
4,tt15428134,2.0
5,tt24485052,3.0
5,tt1954470,4.0
6,tt24485052,3.0
6,tt1954470,4.0
6,tt8239946,3.0
6,tt15428134,2.0
7,tt12345678,4.0
8,tt12345678,4.0
4,tt12345678,2.0
9,tt12345678,5.0
